bin,freq_hz,abs_h,training_noise,mean_abs_llr
956,5601.5625,4.296176912039607,2.5859236123068965,2.7696681287931257
957,5607.421875,0.8520265586094992,0.75,2.364093816037964
958,5613.28125,2.77558930886685,1.4700824962792947,1.4794711056708685
959,5619.140625,4.500147880758113,2.3646873334948966,2.3305834813783712
960,5625.0,3.6325258123644026,1.8451596575093032,1.4190729642780997
961,5630.859375,5.059807609712363,4.416409298843296,4.416946939113519
962,5636.71875,3.4476676370727284,1.6747621175811103,2.6537817327275697
963,5642.578125,4.365405478502463,2.160955964782281,1.3094331324146262
964,5648.4375,2.8754028707471275,1.7774544013283415,2.4115431498073283
965,5654.296875,2.5198869965592636,1.4351582517450971,2.2257975184466394
966,5660.15625,6.210832764866337,3.0542447594757247,3.3710283950053985
967,5666.015625,1.4758411698601435,0.90800094464408,2.9006094121686714
968,5671.875,4.268442521059379,1.972816219991301,1.9394110033307237
969,5677.734375,2.3406805499740853,1.1013626712211924,1.4290297986706237
970,5683.59375,8.916676291142743,3.5369478257158358,2.4068902349870327
971,5689.453125,3.989500765979484,2.2201293724257414,2.219811564456477
972,5695.3125,4.605287345537278,2.886197670457241,2.7998213503465292
973,5701.171875,1.9875057609295657,1.23912416886177,2.0089656023511586
974,5707.03125,1.1018755073913218,0.75,3.230016304599643
975,5712.890625,1.604896841783111,0.7630428507992851,2.0690534110706427
976,5718.75,3.065933142231459,1.3113005071227912,1.1329510438072543
977,5724.609375,4.593116208763919,2.2030265836931475,1.8434443610596705
978,5730.46875,1.60242527616498,0.75,1.342574276516238
979,5736.328125,1.6223273365359172,0.795901335780248,1.6688786243176872
980,5742.1875,3.120697369051092,1.6713995528359935,2.000905958864477
981,5748.046875,5.7258955315939986,3.337907035623842,2.3078613659097456
982,5753.90625,4.4905963273092055,2.946215531862758,2.4924434390369195
983,5759.765625,6.271580072069513,2.4215578316766284,1.3258302196920295
984,5765.625,4.712066429867461,2.0133907373877555,2.763170561473212
985,5771.484375,5.4985844363615115,2.9287369721988257,2.0213470232327104
986,5777.34375,6.645291855771069,3.5653142627494097,4.120918656172079
987,5783.203125,5.240804666197606,5.153612923855942,5.180014720082168
988,5789.0625,4.640961579346863,2.0039579522409774,2.5361168050294296
989,5794.921875,4.831281906567436,1.5752411417227257,1.2593420060336684
990,5800.78125,8.536306856933859,3.036238150121444,2.6745297720271393
991,5806.640625,4.639385327575847,0.9907752345609755,1.241707011242651
992,5812.5,2.2537007319729305,0.75,1.9123425602836255
993,5818.359375,2.439471161033129,1.0675887306742893,1.2100997936453446
994,5824.21875,4.52394565749113,2.3413740132016776,1.3083652093198537
995,5830.078125,3.996746500308796,2.1100143066335795,1.9438819613257359
996,5835.9375,6.888495942669326,2.3043108334370372,3.039242926284833
997,5841.796875,4.745077632252821,1.8810475902520165,3.1134031174875028
998,5847.65625,3.091550596547304,1.4864877366056184,1.9259430697228643
999,5853.515625,3.0998300139325967,1.8399714358954449,2.752196981355027
1000,5859.375,3.716175085787954,2.5386885029667385,2.2103857401262976
1001,5865.234375,4.155277082069796,2.075063527944808,1.9807016872863634
1002,5871.09375,3.045850298581384,1.3872892866137092,1.1210369589099853
1003,5876.953125,5.530725628616865,2.1135203818592947,3.4652940915179573
1004,5882.8125,4.028072116330149,1.71208673643175,1.6612105400556487
1005,5888.671875,1.5113686539796567,0.75,2.48714573042971
1006,5894.53125,5.1126088458349885,2.275650530344052,2.25700835036486
1007,5900.390625,5.557488801461966,2.546274060736773,1.9521321849187931
1008,5906.25,2.632191712282728,1.3421093017529397,1.1921178748310315
1009,5912.109375,3.1730332048543697,1.3499596395595705,2.0182172119341204
1010,5917.96875,4.7883014564742945,1.7047346405551018,1.8709702112355897
1011,5923.828125,5.259392826911067,2.2830088513864104,2.769048874525647
1012,5929.6875,2.8304443632984637,1.4077743753702712,1.6182435541258184
1013,5935.546875,5.031223331214546,3.088127641813556,2.6055427546902488
1014,5941.40625,6.283131467898212,2.2570897420077043,1.9370119479801688
1015,5947.265625,6.656632858598937,2.6080540551506584,2.8677663029968876
1016,5953.125,2.0107596545355695,0.75,1.6614326162418358
1017,5958.984375,5.778668263885339,2.426992743017263,2.457477578314786
1018,5964.84375,5.684315504148956,2.782117931733463,1.4241245977875412
1019,5970.703125,7.264868866889351,3.2258282363968545,2.444765855794647
1020,5976.5625,7.6942215562751075,3.7458037417041163,4.4445040559679825
1021,5982.421875,9.440459011447954,4.808811503495862,3.6606587374594883
1022,5988.28125,2.3345074302409023,1.1720534587489784,1.850285073351726
1023,5994.140625,4.82082585681493,2.173294645832584,5.245941359917629
1024,6000.0,7.278616426674533,4.246581844282043,3.963948747471417
1025,6005.859375,7.843116633762977,3.8512984153913674,2.9880029187885064
1026,6011.71875,5.275995605680494,2.245497769969795,3.2821648304948496
1027,6017.578125,3.403882104931214,1.2342687915248163,1.5055490162226384
1028,6023.4375,7.4014281423120085,2.525892033604121,2.5831133054215494
1029,6029.296875,10.916598370199061,4.229615611256419,4.273872285459776
1030,6035.15625,9.395017334591417,3.647709374248776,3.2166288551617837
1031,6041.015625,2.0884696321449012,0.9605214574227885,1.5154929370434567
1032,6046.875,3.945629952021469,1.9414893340007136,2.5356477472234213
1033,6052.734375,8.981314777643632,3.793066209122207,3.4586817769354643
1034,6058.59375,11.636238377793585,5.228253587061788,5.637752732580182
1035,6064.453125,8.34094784635569,3.8179131692233685,3.8427356925530693
1036,6070.3125,4.469599896083561,3.4096272122731266,3.5306905385567835
1037,6076.171875,7.476124793141436,3.168364553529236,2.8671291041402163
1038,6082.03125,6.813150577977248,3.9488862096826045,2.6634476843667447
1039,6087.890625,3.0590590204009462,1.1619869164447234,1.3940956331990113
1040,6093.75,6.92528098588979,2.6711392130053753,2.5923645458287523
1041,6099.609375,5.068522786068702,1.675418259315606,2.485702979130467
1042,6105.46875,10.703218243240979,5.034991006092984,4.508183172802965
1043,6111.328125,7.340514108095332,2.962078021406183,2.760877927826193
1044,6117.1875,3.3914993590239657,1.676843747657656,1.404915004001925
1045,6123.046875,7.251286169092746,2.8885234281953487,1.601256224010754
1046,6128.90625,7.512646398094865,3.591708261716655,2.180075103736741
1047,6134.765625,6.579913438381037,2.7419436512817636,1.7159831436796367
1048,6140.625,8.258901320199477,3.316070505935711,2.3516920683479188
1049,6146.484375,15.139646540826645,5.8248824537160875,4.350299575167619
