bin,freq_hz,role,gain_run1,gain_run2,gain_run3,min_snr_db,min_phase_coherence,max_amplitude_cv,gain_std_db
311,14578.125,zero,0.8307323196573764,0.7177588631054761,0.8096212368993798,39.7427808625614,0.9736264954538545,0.0390275129502959,0.5533994416074982
312,14625.0,zero,0.7592412720682995,0.8591596347475252,0.6675040812848577,42.85410208984874,0.9796743550185543,0.07333931473641299,0.8951048890448908
313,14671.875,zero,0.969888662502584,0.04922672060878717,0.6583065972882107,24.075107346476493,0.928061953899468,0.54452429970327,11.49395060260443
314,14718.75,zero,0.31905652036830545,0.750627385125203,0.43829191094768005,36.4071326274606,0.9553747973031772,0.0759123570383361,3.067153152517078
315,14765.625,pilot,0.7038640417004406,0.7845466658409064,0.949026104202284,42.33181224230084,0.9793120457581648,0.020595110729402167,1.0728796718835747
316,14812.5,data,0.4752888857476941,0.39526906995058836,0.41750167179608577,34.19947597256744,0.9736713255898654,0.07123232637399365,0.6714758890277486
317,14859.375,data,1.3016680393072266,1.2117695064710485,1.3553563508426159,39.23486231030057,0.9807121048545641,0.027584849218111225,0.402178062202284
318,14906.25,data,1.536525808712747,1.137677320790652,1.1410229175138369,46.78733536623798,0.9856518235087862,0.03993202722747733,1.2245941185379612
319,14953.125,data,1.0671688700583957,0.861488393151103,0.8132684630354542,45.01710493689905,0.9785317204358869,0.06576417091831745,1.0153392874032823
320,15000.0,data,2.1450986824243925,2.1986104439713015,1.725521222278931,46.33868654747608,0.9807213826361366,0.020220113533146525,0.9456987537612004
321,15046.875,data,1.6059480354599682,1.6371843153578964,1.474506122904188,44.773962929964824,0.9807314308706284,0.019050209445900624,0.39502881879606466
322,15093.75,data,0.836560254123457,0.794062706905385,0.8989785137916184,42.522367802578096,0.9693377022555899,0.03701789905490973,0.4419145590965812
323,15140.625,pilot,1.1394340783978185,1.2989280519025104,1.1760802629944962,46.833304371555464,0.9780231668637508,0.0134682651183062,0.48478654297996554
324,15187.5,data,1.195442945379212,1.3173205692542262,1.1994956378610877,48.544685797849155,0.9790706395150868,0.010453444124900985,0.390768522380726
325,15234.375,data,1.508703863151864,1.4690325567892146,1.3975491185766855,50.75136894380659,0.9764902928535519,0.018318105029195175,0.27551658515239696
326,15281.25,data,1.684902909430673,1.5740281266491998,1.587357228748354,57.806346934564665,0.9774101580238478,0.04638523620108699,0.263157517536514
327,15328.125,data,1.6811925878579097,1.364154690663225,1.348410036797153,49.79328231632677,0.9725864847413676,0.017008972201562132,0.880364940642242
328,15375.0,data,1.5593943815321962,1.4968200076407863,1.72591757262796,47.25437139438369,0.9810497064136355,0.013338893099854122,0.5199777726735305
329,15421.875,data,2.6438765198731664,2.595958162165508,2.5366486761561653,48.99601559160398,0.9795147430733544,0.006404655622564218,0.1471444363575059
330,15468.75,data,2.108806128281228,1.8593448301670865,1.7653280275270826,48.88562005370847,0.9793493728497698,0.010924058158041547,0.6483799723284102
331,15515.625,pilot,1.2945126242387266,1.4387565331087817,1.5541045390662958,50.024723624610004,0.97949238266155,0.012717625589557332,0.6507112598531106
332,15562.5,data,1.5519500881968056,1.4411258201662849,1.3004700534362073,46.65050670169126,0.9789988417325304,0.009876004932247547,0.6296154475331539
333,15609.375,data,0.8569541205825195,0.8818520351167236,0.8872847130145252,42.750952849394714,0.9744893541924163,0.020270989836687875,0.13165542502627164
334,15656.25,data,0.9968886590322221,0.9454950300120879,0.8990040918374016,51.56170251533478,0.9809354702225616,0.029455920000886707,0.3665203908331845
335,15703.125,data,0.8884658070125218,1.0130582937254249,0.8431105258954196,47.1365820058465,0.9754509441158414,0.029022958210746592,0.6708594618520333
336,15750.0,data,0.8076700965965093,0.7822371847655285,0.9512081878271674,45.312129882130336,0.9786063416725547,0.02698334713693712,0.7439924325354678
337,15796.875,data,1.2379670738081519,1.375409050559036,0.9563928907802663,51.50886466778127,0.9739281495431471,0.050312950336608646,1.3258172711539338
338,15843.75,data,1.2374337064703576,1.308806663219599,1.5224137504028121,51.574776475134826,0.9720574186173498,0.01936428266141942,0.7602894153913384
339,15890.625,pilot,1.2767742206875576,1.4761328628051564,1.3699416265946998,45.675545147916054,0.9743371068124885,0.02314629116028719,0.5145582160616526
340,15937.5,data,1.1242086881157707,1.355305908983537,1.362563583563738,46.9888593846262,0.9749391057105117,0.016113717480254627,0.7766352904851531
341,15984.375,data,1.562212515216469,1.4437530213018905,1.503048479172897,53.93881675548724,0.9734079265869382,0.022496876393498472,0.27964746841108434
342,16031.25,data,1.2676580793976828,1.2642965046625068,1.1668342542077927,46.645040983040566,0.9769795396507751,0.011715306302422897,0.3340414019702014
343,16078.125,data,1.7317032166515394,1.6543169103107669,1.8398537738853662,51.43866466379044,0.9730193439646414,0.01998699200318245,0.37815865995269166
344,16125.0,data,1.7602007986957535,1.7275852018296853,1.5153071616676814,54.140288683328535,0.9715928464275023,0.011190342425775664,0.5789265730974182
345,16171.875,data,1.6101577921228551,1.7351876193991669,1.6619175485174802,53.797451966487245,0.9715437484082419,0.02993337979251859,0.2662255191112224
346,16218.75,data,1.3660384477580572,1.6074688110382886,1.336205999894987,53.42313076229658,0.9739873002982002,0.0488547629762337,0.7158740894090003
347,16265.625,pilot,1.4574769948671051,1.5061892655163487,1.4217374322266587,58.444730141153656,0.9723249050232589,0.020810650720124765,0.2052777039004306
348,16312.5,data,1.3457295873185362,1.2904443167100752,1.2275251460192447,52.354717007751745,0.9721817128243608,0.01834727692825483,0.32642082995050575
349,16359.375,data,1.3929438313790246,1.4494911225908196,1.43109975034705,53.64093455646342,0.9740741159405106,0.016671672527452178,0.14409272240290774
350,16406.25,data,0.9436210459451575,1.1752138134424057,1.1296874015597234,48.399580498391444,0.971361711695592,0.040435903557794715,0.8297059855930882
351,16453.125,data,0.8658066095614609,1.1661333662990732,1.1000915011034307,51.69599656162282,0.9702465813117616,0.030932522580511858,1.119211538366466
352,16500.0,data,0.8572122294345794,1.1108862972334195,1.1219942719066636,52.02624287422261,0.9721370542090473,0.015414140757014604,1.0823709139751656
353,16546.875,data,0.8500526489762357,1.0164400061790189,0.9348357287611699,48.40477576360729,0.9768117049663655,0.021145684386451803,0.6343228084121002
354,16593.75,data,1.147310735089845,1.0772263256325942,1.1868286493942661,52.29650362738829,0.9761463706444546,0.010655253206581268,0.3487407159625117
355,16640.625,pilot,1.2122383678944442,1.1982647630866223,1.1436315880398058,51.012500492060425,0.9766514297234528,0.008901682215858145,0.21871095476471214
356,16687.5,data,0.9835915530231859,0.9232565214556174,0.9437223919458183,48.21776244490088,0.9753736470496873,0.017764648529083774,0.22798035981015785
357,16734.375,data,0.8294997692348995,0.8309521513221538,0.7151753330341365,50.40978309381224,0.9706201645960199,0.027810760020062567,0.6108172910504335
358,16781.25,data,0.9098042526990124,0.8278704343877799,0.8197127566972168,53.27874960725615,0.9768265384788869,0.0183911947837894,0.40820259273953036
359,16828.125,data,0.4579348861710373,0.4176254505571495,0.2548374045671944,38.31808273093317,0.9544978427811074,0.08688297843575155,2.2352001249949005
360,16875.0,data,0.7748057881889772,0.663293609752521,0.7056893647941749,45.93054486732419,0.9787422941580349,0.044539955165047204,0.5547855158652887
361,16921.875,data,0.49000566264821965,0.5025415857904578,0.4814816534430988,47.16920524381001,0.9743402568270405,0.043709478401072074,0.15262417021528368
362,16968.75,data,0.4352587163968904,0.5445387256589551,0.42004637836220116,43.42910878944682,0.9760648228587528,0.04174753775853854,0.998014846506592
363,17015.625,pilot,0.5733385303081511,0.6307647045935909,0.6496316537388609,45.80317757764995,0.9687172166765151,0.031954508430049454,0.46313783311328766
364,17062.5,data,0.5127410320626375,0.5612527369250759,0.4458752085505626,48.416471154379096,0.9723907514066648,0.013055947962951375,0.8222746172060127
365,17109.375,data,0.6158123068101724,0.4979043012905428,0.48208818324173375,48.36300392181939,0.9712760090540816,0.036916327260479775,0.9432952612929109
366,17156.25,data,0.6315001001807202,0.5714923967355567,0.6113725098814349,51.776368644189304,0.9700724357837627,0.023688010236133664,0.3612610833652377
367,17203.125,data,0.7007525427569126,0.5834275108215474,0.6256338420355443,52.57017961732338,0.9702950084649388,0.02073566672407826,0.6558370214780396
368,17250.0,data,0.6403215143870282,0.5882411165274599,0.61450168927933,50.82787611546105,0.9681919339358528,0.029582995543950056,0.3008636204615814
369,17296.875,data,0.800671376818878,0.9342165922441159,0.8308329913260286,47.26904337611462,0.971684655628695,0.029829876515453543,0.5711687937568002
370,17343.75,data,0.3239143663929624,0.3711228635387285,0.3184521367117169,42.00778679265011,0.974748746231399,0.050798688047680327,0.594964732870111
371,17390.625,pilot,0.4467438427962297,0.4619821827258279,0.5056452146052466,44.78809340219807,0.9688249175824073,0.029034436910943637,0.45428943732461
372,17437.5,data,0.44539176054883106,0.5320767433916724,0.459997092252049,46.19717908522938,0.973326395177675,0.037700867158328995,0.6719068911212659
373,17484.375,data,0.35061314696825185,0.3403631612182096,0.2788049590219885,42.190299375097304,0.9705319562495922,0.07493706923341589,0.8838966538936123
374,17531.25,data,0.5986831858197759,0.610035226240554,0.5427326254804248,46.793889533671134,0.9727974170462511,0.035912999079507665,0.44520901034028837
375,17578.125,data,0.557903056664238,0.5847025588110043,0.5575365752505752,45.950174741617516,0.9740436031357265,0.025538276601322886,0.19346847715152724
376,17625.0,data,0.2718721955762178,0.22313374915915818,0.18948646553997844,41.856502685198045,0.9614108981310826,0.08364391526645595,1.2820601683495005
377,17671.875,data,0.3238149391699473,0.2982290481234869,0.34756658808085134,45.537402092376624,0.9578023825675384,0.07321917253368898,0.5433855124416138
378,17718.75,data,0.21666464813440384,0.2771369519298464,0.3426241970106958,41.49809707317403,0.9731592402270555,0.06144713340790026,1.6265664135381313
379,17765.625,pilot,0.3527002837949922,0.288196145219482,0.3102728672206007,46.202965644307916,0.9567594110795071,0.05625432934159328,0.7248051848435549
380,17812.5,data,0.3761472783975991,0.38611163775143564,0.3869061198599556,48.23005650417868,0.968804357484873,0.030527924631724518,0.11150242178358097
381,17859.375,data,0.4381749202878671,0.39076114738622375,0.4297327185182209,46.59974987811968,0.9601634086155763,0.029654850857494492,0.43459768933277004
382,17906.25,data,0.5915972345270084,0.5272925373092018,0.5097163498245458,52.11966431609569,0.9691674766297128,0.05424056858712153,0.5537747580056456
383,17953.125,data,0.6526284314962408,0.5896729559372609,0.626899454529081,52.016365020224775,0.9693739162613875,0.024093051687122113,0.36226507646542927
384,18000.0,data,0.378710306210128,0.36192769076978587,0.4101018587399987,44.75169221183079,0.9610120685205763,0.027408325941909912,0.44864397467885514
385,18046.875,data,0.5242862127990924,0.5890963850586938,0.5073916938414891,50.79349949941844,0.9666610987362504,0.0496742768716437,0.5565425849184076
386,18093.75,data,0.6659194341337625,0.6264943258382722,0.5853423081295221,50.70786956864037,0.968372461917081,0.038350976484507936,0.45755321419774525
387,18140.625,pilot,0.514688665824641,0.5488121799418545,0.5008064074164782,51.81256862036755,0.9672526600175877,0.022796245146830277,0.33324166528418336
388,18187.5,data,0.4764490240361657,0.49460978443230663,0.5067222776131433,50.58075833549805,0.9674093488434865,0.026826611450636723,0.22011078455311353
389,18234.375,data,0.3968794421424713,0.41144319390857653,0.43249874490880513,46.008167234642904,0.9688475446669812,0.04403694824690155,0.3060875397894162
390,18281.25,data,0.3772582254162089,0.350740376456306,0.3097327623878922,45.26105700430072,0.9610000146148773,0.03373491766899691,0.7072309681321336
391,18328.125,data,0.4863230238207832,0.3999300243136968,0.4097097658141513,50.54299223641817,0.9541702297026651,0.08479482688307692,0.7562366751897169
392,18375.0,data,0.5562686626703346,0.5384149600931434,0.5668832715782115,49.748947181300885,0.9712694462276356,0.03031006145459583,0.18485004249398143
393,18421.875,data,0.6710859106959872,0.5256014331717278,0.49519282444678225,49.00846969226411,0.9744884284266258,0.02130129817458409,1.142252654943069
394,18468.75,data,0.2768406226281179,0.24553212532307156,0.2830737786561388,40.49631613162419,0.9735105551477995,0.036327603377183514,0.5427634144077689
395,18515.625,pilot,0.5812174758193704,0.5420944189611361,0.5563298288727774,46.98406103677204,0.9691814056923609,0.013605760534229171,0.24978769884261023
396,18562.5,data,0.35980133844559814,0.30664383644057647,0.35271729083014813,43.404611065125096,0.9700109843511353,0.04538319233847393,0.6179044037543242
397,18609.375,data,0.358355683308553,0.39175839795490675,0.4176080895819523,46.824347624366865,0.9731651996440459,0.05444921746697221,0.5450509001785857
398,18656.25,data,0.4582557879686617,0.38617204792800863,0.3967740322868101,48.03592512206731,0.9721631645660407,0.027906358337207192,0.652421793858751
399,18703.125,data,0.161209533895756,0.1922624778032852,0.1913808968961734,37.142546223213266,0.9649269234982207,0.046020410265058445,0.7120623836613916
