bin,freq_hz,real_h_mean,imag_h_mean,abs_h_mean,phase_h_mean,abs_h_std
75,3515.625,0.12175187735480969,-0.2533607644631594,0.28109641870500085,-1.1228314842151024,0.08619605178494555
76,3562.5,0.06999113027865703,-0.260348655778904,0.26959262023202,-1.3081695799599102,0.04247325355672464
77,3609.375,0.10928939025657476,-0.2048965390221844,0.23222136535194912,-1.0807963075876679,0.06322912772988555
78,3656.25,-0.09104488269742039,-0.2686682180971308,0.28367548727529224,-1.8975258627337168,0.14526087695119944
79,3703.125,0.0854196269307031,-0.12937179831401208,0.15502765838385715,-0.9872389845488123,0.15758885551448276
80,3750.0,0.09399327900488763,-0.10633345015604295,0.14192089035860198,-0.8469206473124766,0.15800887936778166
81,3796.875,0.0389714877433072,-0.20051964096933875,0.20427164088879116,-1.378836933642915,0.14886208673490453
82,3843.75,0.1436037609882855,-0.44347812740216785,0.46614899941340004,-1.2576388557702296,0.3446508480578529
83,3890.625,-0.2740410301699788,-0.5081243050876698,0.5773116971250891,-2.065402092721919,0.5053310461263643
84,3937.5,0.017735244426218832,-0.07887053986805853,0.08083997126382923,-1.3496101359514447,0.19215002022795274
85,3984.375,0.2920485856393748,-0.30421956006073136,0.4217130743734467,-0.8058072437772202,0.3782173591953882
86,4031.25,-0.2366465448291004,-0.28505547953549426,0.37048375617935264,-2.2636690422322605,0.343734735131689
87,4078.125,-0.3674119625047868,-0.059821747859522434,0.37225017355078177,-2.9801897077225217,0.7016928803144628
88,4125.0,0.22607446341507276,0.5207081880060818,0.5676677549984587,1.1611865955669203,1.0407943388806877
89,4171.875,0.4677416130580591,-0.07360433915789125,0.4734974290627405,-0.15608118693963113,0.7088250076199799
90,4218.75,0.16593617005616038,-0.2525886633630498,0.30221820824106393,-0.989556246208842,0.17177227053511585
91,4265.625,-0.008531497885394491,-0.2091069789630191,0.20928094778839523,-1.611573391084022,0.11012825743679354
92,4312.5,0.07691726478433965,-0.19625865720969302,0.21079308848170522,-1.197276706009304,0.11027521529310191
93,4359.375,-0.08895186727213616,-0.23729618686686835,0.2534204312851579,-1.929440625713839,0.27642964505575485
94,4406.25,0.01740378014673424,-0.34653720626965884,0.3469739570811849,-1.520616520034962,0.2792500293395335
95,4453.125,0.0477223948110127,-0.3799725134335272,0.38295761897563835,-1.4458561845933418,0.3716925737779663
96,4500.0,-0.21828172034811227,-0.07721890369703654,0.23153761795074185,-2.8015738854042276,0.47200710214467095
97,4546.875,0.13372306001530104,0.08018043207852027,0.15591907666528174,0.5401257998819963,0.42105997864669004
98,4593.75,0.28174016520674006,-0.3412246078957377,0.4425062188538384,-0.8805955855117511,0.44508489914830207
99,4640.625,0.06626110439343684,-0.15278242395878205,0.16653228823912483,-1.1615833259703148,0.07119038666668863
